"en_name","cn_name","en_description","cn_description","indcode"
"Child employment in agriculture, male (% of male economically active children ages 7-14)","","Employment by economic activity refers to the distribution of economically active children by the major industrial categories of the International Standard Industrial Classification (ISIC). Agriculture corresponds to division 1 (ISIC revision 2), categories A and B (ISIC revision 3), or category A (ISIC revision 4) and includes hunting, forestry, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","","SL.AGR.0714.MA.ZS"
"Child employment in agriculture, female (% of female economically active children ages 7-14)","","Employment by economic activity refers to the distribution of economically active children by the major industrial categories of the International Standard Industrial Classification (ISIC). Agriculture corresponds to division 1 (ISIC revision 2), categories A and B (ISIC revision 3), or category A (ISIC revision 4) and includes hunting, forestry, and fishing. Economically active children refer to children involved in economic activity for at least one hour in the reference week of the survey.","","SL.AGR.0714.FE.ZS"
"Maternal mortality ratio (national estimate, per 100,000 live births)","","Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births.","","SH.STA.MMRT.NE"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)","","Maternal mortality ratio is the number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births. The data are estimated with a regression model using information on the proportion of maternal deaths among non-AIDS deaths in women ages 15-49, fertility, birth attendants, and GDP measured using purchasing power parities (PPPs).","","SH.STA.MMRT"
"Prevalence of underweight, weight for age, male (% of children under 5)","","Prevalence of underweight, male, is the percentage of boys under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's 2006 Child Growth Standards.","","SH.STA.MALN.MA.ZS"
"Prevalence of underweight, weight for age, female (% of children under 5)","","Prevalence of underweight, female, is the percentage of girls under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's 2006 Child Growth Standards.","","SH.STA.MALN.FE.ZS"
"Births attended by skilled health staff (% of total)","","Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.","","SH.STA.BRTC.ZS"
"Pregnant women receiving prenatal care (%)","","Pregnant women receiving prenatal care are the percentage of women attended at least once during pregnancy by skilled health personnel for reasons related to pregnancy.","","SH.STA.ANVC.ZS"
"Lifetime risk of maternal death (%)","","Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","","SH.MMR.RISK.ZS"
"Lifetime risk of maternal death (1 in: rate varies by country)","","Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","","SH.MMR.RISK"
"Prevalence of HIV, male (% ages 15-24)","","Prevalence of HIV, male is the percentage of males who are infected with HIV. Youth rates are as a percentage of the relevant age group.","","SH.HIV.1524.MA.ZS"
"Prevalence of HIV, female (% ages 15-24)","","Prevalence of HIV, female is the percentage of females who are infected with HIV. Youth rates are as a percentage of the relevant age group.","","SH.HIV.1524.FE.ZS"
"Women's share of population ages 15+ living with HIV (%)","","Prevalence of HIV is the percentage of people who are infected with HIV. Female rate is as a percentage of the total population ages 15+ who are living with HIV.","","SH.DYN.AIDS.FE.ZS"
"Condom use, population ages 15-24, male (% of males ages 15-24)","","Condom use, male is the percentage of the male population ages 15-24 who used a condom at last intercourse in the last 12 months.","","SH.CON.1524.MA.ZS"
"Condom use, population ages 15-24, female (% of females ages 15-24)","","Condom use, female is the percentage of the female population ages 15-24 who used a condom at last intercourse in the last 12 months.","","SH.CON.1524.FE.ZS"
"Women who believe a husband is justified in beating his wife when she refuses sex with him (%)","","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she refuses sex with him.","","SG.VAW.REFU.ZS"
"Women who believe a husband is justified in beating his wife (any of five reasons) (%)","","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner for any of the following five reasons: argues with him; refuses to have sex; burns the food; goes out without telling him; or when she neglects the children.","","SG.VAW.REAS.ZS"
"Women who believe a husband is justified in beating his wife when she neglects the children (%)","","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she neglects the children.","","SG.VAW.NEGL.ZS"
"Women who believe a husband is justified in beating his wife when she goes out without telling him (%)","","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she goes out without telling him.","","SG.VAW.GOES.ZS"
"Women who believe a husband is justified in beating his wife when she burns the food (%)","","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she burns the food.","","SG.VAW.BURN.ZS"
"Women who believe a husband is justified in beating his wife when she argues with him (%)","","Percentage of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him.","","SG.VAW.ARGU.ZS"
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women age 15-49 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","","SG.VAW.1549.ZS"
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day) ","","The average time men spend on household provision of services for own consumption.  Data are expressed as a proportion of time in a day. Domestic and care work includes food preparation, dishwashing, cleaning and upkeep of a dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household members, among others.","","SG.TIM.UWRK.MA"
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)","","The average time women spend on household provision of services for own consumption. Data are expressed as a proportion of time in a day. Domestic and care work includes food preparation, dishwashing, cleaning and upkeep of a dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household members, among others.","","SG.TIM.UWRK.FE"
"Women Business and the Law Index Score (scale 1-100)","","The index measures how laws and regulations affect women¡¯s economic opportunity. Overall scores are calculated by taking the average score of each index (Mobility, Workplace, Pay, Marriage, Parenthood, Entrepreneurship, Assets and Pension), with 100 representing the highest possible score.","","SG.LAW.INDX"
"Proportion of seats held by women in national parliaments (%)","","Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.","","SG.GEN.PARL.ZS"
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","","Proportion of women ages 15-49 years (married or in union) who make their own decision on all three selected areas i.e. can say no to sexual intercourse with their husband or partner if they do not want; decide on use of contraception; and decide on their own health care. Only women who provide a ¡°yes¡± answer to all three components are considered as women who ¡°make her own decisions regarding sexual and reproductive¡±.","","SG.DMK.SRCR.FN.ZS"
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)","","Women participating in the three decisions (own health care, major household purchases, and visiting family) is the percentage of currently married women aged 15-49 who say that they alone or jointly have the final say in all of the three decisions (own health care, large purchases and visits to family, relatives, and friends).","","SG.DMK.ALLD.FN.ZS"
"School enrollment, tertiary, male (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.","","SE.TER.ENRR.MA"
"School enrollment, tertiary, female (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Tertiary education, whether or not to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.","","SE.TER.ENRR.FE"
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.","","SE.TER.CUAT.ST.ZS"
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.","","SE.TER.CUAT.ST.MA.ZS"
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.","","SE.TER.CUAT.ST.FE.ZS"
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Master's or equivalent.","","SE.TER.CUAT.MS.ZS"
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Master's or equivalent.","","SE.TER.CUAT.MS.MA.ZS"
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Master's or equivalent.","","SE.TER.CUAT.MS.FE.ZS"
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.","","SE.TER.CUAT.DO.ZS"
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.","","SE.TER.CUAT.DO.MA.ZS"
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.","","SE.TER.CUAT.DO.FE.ZS"
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.","","SE.TER.CUAT.BA.ZS"
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.","","SE.TER.CUAT.BA.MA.ZS"
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.","","SE.TER.CUAT.BA.FE.ZS"
"Secondary education, teachers (% female)","","Female teachers as a percentage of total secondary education teachers includes full-time and part-time teachers.","","SE.SEC.TCHR.FE.ZS"
"Progression to secondary school, male (%)","","Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).","","SE.SEC.PROG.MA.ZS"
"Progression to secondary school, female (%)","","Progression to secondary school refers to the number of new entrants to the first grade of secondary school in a given year as a percentage of the number of students enrolled in the final grade of primary school in the previous year (minus the number of repeaters from the last grade of primary education in the given year).","","SE.SEC.PROG.FE.ZS"
"School enrollment, secondary, male (% net)","","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","","SE.SEC.NENR.MA"
"School enrollment, secondary, female (% net)","","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","","SE.SEC.NENR.FE"
"School enrollment, secondary, male (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","","SE.SEC.ENRR.MA"
"School enrollment, secondary, female (% gross)","","Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Secondary education completes the provision of basic education that began at the primary level, and aims at laying the foundations for lifelong learning and human development, by offering more subject- or skill-oriented instruction using more specialized teachers.","","SE.SEC.ENRR.FE"
"Secondary education, vocational pupils (% female)","","Secondary vocational pupils are the number of secondary students enrolled in technical and vocational education programs, including teacher training.","","SE.SEC.ENRL.VO.FE.ZS"
"Secondary education, general pupils (% female)","","Secondary general pupils are the number of secondary students enrolled in general education programs, including teacher training.","","SE.SEC.ENRL.GC.FE.ZS"
"Secondary education, pupils (% female)","","Female pupils as a percentage of total pupils at secondary level includes enrollments in public and private schools.","","SE.SEC.ENRL.FE.ZS"
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed upper secondary education.","","SE.SEC.CUAT.UP.ZS"
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed upper secondary education.","","SE.SEC.CUAT.UP.MA.ZS"
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed upper secondary education.","","SE.SEC.CUAT.UP.FE.ZS"
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.","","SE.SEC.CUAT.PO.ZS"
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.","","SE.SEC.CUAT.PO.MA.ZS"
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed post-secondary non-tertiary education.","","SE.SEC.CUAT.PO.FE.ZS"
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed lower secondary education.","","SE.SEC.CUAT.LO.ZS"
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed lower secondary education.","","SE.SEC.CUAT.LO.MA.ZS"
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","","The percentage of population ages 25 and over that attained or completed lower secondary education.","","SE.SEC.CUAT.LO.FE.ZS"
"Children out of school, primary, male","","Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.","","SE.PRM.UNER.MA"
"Children out of school, primary, female","","Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.","","SE.PRM.UNER.FE"
"Adjusted net enrollment rate, primary, male (% of primary school age children)","","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.","","SE.PRM.TENR.MA"
"Adjusted net enrollment rate, primary, female (% of primary school age children)","","Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.","","SE.PRM.TENR.FE"
"Primary education, teachers (% female)","","Female teachers as a percentage of total primary education teachers includes full-time and part-time teachers.","","SE.PRM.TCHR.FE.ZS"
"Trained teachers in primary education, male (% of male teachers)","","Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.","","SE.PRM.TCAQ.MA.ZS"
"Trained teachers in primary education, female (% of female teachers)","","Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.","","SE.PRM.TCAQ.FE.ZS"
"Repeaters, primary, male (% of male enrollment)","","Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school.","","SE.PRM.REPT.MA.ZS"
"Repeaters, primary, female (% of female enrollment)","","Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school.","","SE.PRM.REPT.FE.ZS"
"Persistence to last grade of primary, male (% of cohort)","","Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method.","","SE.PRM.PRSL.MA.ZS"
"Persistence to last grade of primary, female (% of cohort)","","Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method.","","SE.PRM.PRSL.FE.ZS"
"Persistence to grade 5, male (% of cohort)","","Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.","","SE.PRM.PRS5.MA.ZS"
"Persistence to grade 5, female (% of cohort)","","Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.","","SE.PRM.PRS5.FE.ZS"
"Net intake rate in grade 1, male (% of official school-age population)","","Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.","","SE.PRM.NINT.MA.ZS"
"Net intake rate in grade 1, female (% of official school-age population)","","Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.","","SE.PRM.NINT.FE.ZS"
"School enrollment, primary, male (% net)","","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","","SE.PRM.NENR.MA"
"School enrollment, primary, female (% net)","","Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","","SE.PRM.NENR.FE"
"Gross intake ratio in first grade of primary education, male (% of relevant age group)","","Gross intake ratio in first grade of primary education is the number of new entrants in the first grade of primary education regardless of age, expressed as a percentage of the population of the official primary entrance age.","","SE.PRM.GINT.MA.ZS"
"Gross intake ratio in first grade of primary education, female (% of relevant age group)","","Gross intake ratio in first grade of primary education is the number of new entrants in the first grade of primary education regardless of age, expressed as a percentage of the population of the official primary entrance age.","","SE.PRM.GINT.FE.ZS"
